row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
30,"المركبات > سيارات > Dodge",Viper,would_add,"Would create «Viper» under parent id 21551",-27323,Viper,Viper,dodge-viper,21551,1
31,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Coolray,would_add,"Would create «Coolray» under parent id -27295",-27324,Coolray,Coolray,Off-Road-SUV-Pickup-Trucks-geely-coolray,-27295,1
32,"المركبات > سيارات > Geely","Geometry C",would_add,"Would create «Geometry C» under parent id 21633",-27325,"Geometry C","Geometry C",geely-geometry-c,21633,1
33,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Monjaro,would_add,"Would create «Monjaro» under parent id -27295",-27326,Monjaro,Monjaro,Off-Road-SUV-Pickup-Trucks-geely-monjaro,-27295,1
34,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Okavango,would_add,"Would create «Okavango» under parent id -27295",-27327,Okavango,Okavango,Off-Road-SUV-Pickup-Trucks-geely-okavango,-27295,1
35,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Tugella,would_add,"Would create «Tugella» under parent id -27295",-27328,Tugella,Tugella,Off-Road-SUV-Pickup-Trucks-geely-tugella,-27295,1
36,"المركبات > سيارات > Honda",Insight,would_add,"Would create «Insight» under parent id 21638",-27329,Insight,Insight,honda-insight,21638,1
37,"المركبات > سيارات > Hyundai",Azera,would_add,"Would create «Azera» under parent id 21769",-27330,Azera,Azera,hyundai-azera,21769,1
38,"المركبات > سيارات > Hyundai","Ioniq 6",would_add,"Would create «Ioniq 6» under parent id 21769",-27331,"Ioniq 6","Ioniq 6",hyundai-ioniq-6,21769,1
39,"المركبات > سيارات > Hyundai",Lantra,would_add,"Would create «Lantra» under parent id 21769",-27332,Lantra,Lantra,hyundai-lantra,21769,1
40,"المركبات > سيارات > Hyundai",Veloster,would_add,"Would create «Veloster» under parent id 21769",-27333,Veloster,Veloster,hyundai-veloster,21769,1
41,"المركبات > سيارات دفع رباعي وبيك آب > Infiniti",EX,would_add,"Would create «EX» under parent id 34009",-27334,EX,EX,infiniti-Off-Road-SUV-Pickup-Trucks-ex,34009,1
42,"المركبات > سيارات > Infiniti",Q60,would_add,"Would create «Q60» under parent id 21913",-27335,Q60,Q60,infiniti-q60,21913,1
43,"المركبات > سيارات > Infiniti",Q70,would_add,"Would create «Q70» under parent id 21913",-27336,Q70,Q70,infiniti-q70,21913,1
44,"المركبات > سيارات > Kia",Forte,would_add,"Would create «Forte» under parent id 21939",-27337,Forte,Forte,kia-forte,21939,1
45,"المركبات > سيارات > Kia",K5,would_add,"Would create «K5» under parent id 21939",-27338,K5,K5,kia-k5,21939,1
46,"المركبات > سيارات > Kia",K8,would_add,"Would create «K8» under parent id 21939",-27339,K8,K8,kia-k8,21939,1
47,"المركبات > سيارات > Kia",K9,would_add,"Would create «K9» under parent id 21939",-27340,K9,K9,kia-k9,21939,1
48,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",GX,would_add,"Would create «GX» under parent id 34019",-27341,GX,GX,lexus-Off-Road-SUV-Pickup-Trucks-gx,34019,1
49,"المركبات > سيارات > Lexus",LC,would_add,"Would create «LC» under parent id 22104",-27342,LC,LC,lexus-lc,22104,1
50,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",UX,would_add,"Would create «UX» under parent id 34019",-27343,UX,UX,lexus-Off-Road-SUV-Pickup-Trucks-ux,34019,1
51,"المركبات > سيارات > MG",MG5,would_add,"Would create «MG5» under parent id 22711",-27344,MG5,MG5,mg-mg5,22711,1
52,"المركبات > سيارات > MG",MG6,would_add,"Would create «MG6» under parent id 22711",-27345,MG6,MG6,mg-mg6,22711,1
53,"المركبات > سيارات دفع رباعي وبيك آب > MG",RX5,would_add,"Would create «RX5» under parent id 34026",-27346,RX5,RX5,mg-Off-Road-SUV-Pickup-Trucks-rx5,34026,1
54,"المركبات > سيارات > MINI",Cabrio,would_add,"Would create «Cabrio» under parent id 22722",-27347,Cabrio,Cabrio,mini-cabrio,22722,1
55,"المركبات > سيارات > Nissan",Leaf,would_add,"Would create «Leaf» under parent id 22779",-27348,Leaf,Leaf,nissan-leaf,22779,1
56,"المركبات > سيارات > Nissan",Sentra,would_add,"Would create «Sentra» under parent id 22779",-27349,Sentra,Sentra,nissan-sentra,22779,1
57,"المركبات > سيارات > Nissan",Sylphy,would_add,"Would create «Sylphy» under parent id 22779",-27350,Sylphy,Sylphy,nissan-sylphy,22779,1
58,"المركبات > سيارات > Nissan",Teana,would_add,"Would create «Teana» under parent id 22779",-27351,Teana,Teana,nissan-teana,22779,1
59,"المركبات > سيارات > Nissan",Versa,would_add,"Would create «Versa» under parent id 22779",-27352,Versa,Versa,nissan-versa,22779,1
60,"المركبات > سيارات > Peugeot",108,would_add,"Would create «108» under parent id 22865",-27353,108,108,peugeot-108,22865,1
61,"المركبات > سيارات > Suzuki",Celerio,would_add,"Would create «Celerio» under parent id 23101",-27354,Celerio,Celerio,suzuki-celerio,23101,1
62,"المركبات > سيارات دفع رباعي وبيك آب > Tesla",Cybertruck,would_add,"Would create «Cybertruck» under parent id 44720",-27355,Cybertruck,Cybertruck,Off-Road-SUV-Pickup-Trucks-tesla-cybertruck,44720,1
63,"المركبات > سيارات > Tesla",Roadster,would_add,"Would create «Roadster» under parent id 23103",-27356,Roadster,Roadster,tesla-roadster,23103,1
64,"المركبات > سيارات > Toyota",Avalon,would_add,"Would create «Avalon» under parent id 23221",-27357,Avalon,Avalon,toyota-avalon,23221,1
65,"المركبات > سيارات > Toyota",Aygo,would_add,"Would create «Aygo» under parent id 23221",-27358,Aygo,Aygo,toyota-aygo,23221,1
66,"المركبات > سيارات > Toyota",Celica,would_add,"Would create «Celica» under parent id 23221",-27359,Celica,Celica,toyota-celica,23221,1
67,"المركبات > سيارات > Toyota",Crown,would_add,"Would create «Crown» under parent id 23221",-27360,Crown,Crown,toyota-crown,23221,1
68,"المركبات > سيارات > Toyota",GR86,would_add,"Would create «GR86» under parent id 23221",-27361,GR86,GR86,toyota-gr86,23221,1
69,"المركبات > سيارات > Toyota",Matrix,would_add,"Would create «Matrix» under parent id 23221",-27362,Matrix,Matrix,toyota-matrix,23221,1
70,"المركبات > سيارات > Toyota",Mirai,would_add,"Would create «Mirai» under parent id 23221",-27363,Mirai,Mirai,toyota-mirai,23221,1
71,"المركبات > سيارات > Toyota",Sienna,would_add,"Would create «Sienna» under parent id 23221",-27364,Sienna,Sienna,toyota-sienna,23221,1
72,"المركبات > سيارات دفع رباعي وبيك آب > Volvo",XC70,would_add,"Would create «XC70» under parent id 34047",-27365,XC70,XC70,volvo-Off-Road-SUV-Pickup-Trucks-xc70,34047,1
73,"المركبات > سيارات دفع رباعي وبيك آب > Volvo",XC90,would_add,"Would create «XC90» under parent id 34047",-27366,XC90,XC90,volvo-Off-Road-SUV-Pickup-Trucks-xc90,34047,1
74,"المركبات > سيارات دفع رباعي وبيك آب > BYD","Leopard 5",would_add,"Would create «Leopard 5» under parent id 33984",-27367,"Leopard 5","Leopard 5",byd-Off-Road-SUV-Pickup-Trucks-leopard-5,33984,1
75,"المركبات > سيارات دفع رباعي وبيك آب > BYD","Song Pro",would_add,"Would create «Song Pro» under parent id 33984",-27368,"Song Pro","Song Pro",byd-Off-Road-SUV-Pickup-Trucks-song-pro,33984,1
76,"المركبات > سيارات دفع رباعي وبيك آب > Cadillac",XT4,would_add,"Would create «XT4» under parent id 33985",-27369,XT4,XT4,cadillac-Off-Road-SUV-Pickup-Trucks-xt4,33985,1
77,"المركبات > سيارات دفع رباعي وبيك آب > Cadillac",XT5,would_add,"Would create «XT5» under parent id 33985",-27370,XT5,XT5,cadillac-Off-Road-SUV-Pickup-Trucks-xt5,33985,1
78,"المركبات > سيارات دفع رباعي وبيك آب > Cadillac",XT6,would_add,"Would create «XT6» under parent id 33985",-27371,XT6,XT6,cadillac-Off-Road-SUV-Pickup-Trucks-xt6,33985,1
79,"المركبات > سيارات دفع رباعي وبيك آب > Chery","Tiggo 4 Pro",would_add,"Would create «Tiggo 4 Pro» under parent id 33986",-27372,"Tiggo 4 Pro","Tiggo 4 Pro",chery-Off-Road-SUV-Pickup-Trucks-tiggo-4-pro,33986,1
80,"المركبات > سيارات دفع رباعي وبيك آب > Chevrolet",Colorado,would_add,"Would create «Colorado» under parent id 33987",-27373,Colorado,Colorado,chevrolet-Off-Road-SUV-Pickup-Trucks-colorado,33987,1
81,"المركبات > سيارات دفع رباعي وبيك آب > Chevrolet",Tracker,would_add,"Would create «Tracker» under parent id 33987",-27374,Tracker,Tracker,chevrolet-Off-Road-SUV-Pickup-Trucks-tracker,33987,1
82,"المركبات > سيارات دفع رباعي وبيك آب > Chevrolet",Trailblazer,would_add,"Would create «Trailblazer» under parent id 33987",-27375,Trailblazer,Trailblazer,chevrolet-Off-Road-SUV-Pickup-Trucks-trailblazer,33987,1
83,"المركبات > سيارات دفع رباعي وبيك آب > Chevrolet",Traverse,would_add,"Would create «Traverse» under parent id 33987",-27376,Traverse,Traverse,chevrolet-Off-Road-SUV-Pickup-Trucks-traverse,33987,1
84,"المركبات > سيارات دفع رباعي وبيك آب > Ford",Everest,would_add,"Would create «Everest» under parent id 34000",-27377,Everest,Everest,ford-Off-Road-SUV-Pickup-Trucks-everest,34000,1
85,"المركبات > سيارات دفع رباعي وبيك آب > Ford",Maverick,would_add,"Would create «Maverick» under parent id 34000",-27378,Maverick,Maverick,ford-Off-Road-SUV-Pickup-Trucks-maverick,34000,1
86,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Azkarra,would_add,"Would create «Azkarra» under parent id -27295",-27379,Azkarra,Azkarra,Off-Road-SUV-Pickup-Trucks-geely-azkarra,-27295,1
87,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Boyue,would_add,"Would create «Boyue» under parent id -27295",-27380,Boyue,Boyue,Off-Road-SUV-Pickup-Trucks-geely-boyue,-27295,1
88,"المركبات > سيارات دفع رباعي وبيك آب > Geely","Radar RD6",would_add,"Would create «Radar RD6» under parent id -27295",-27381,"Radar RD6","Radar RD6",Off-Road-SUV-Pickup-Trucks-geely-radar-rd6,-27295,1
89,"المركبات > سيارات دفع رباعي وبيك آب > Honda",Passport,would_add,"Would create «Passport» under parent id 34005",-27382,Passport,Passport,honda-Off-Road-SUV-Pickup-Trucks-passport,34005,1
90,"المركبات > سيارات دفع رباعي وبيك آب > Honda",Pilot,would_add,"Would create «Pilot» under parent id 34005",-27383,Pilot,Pilot,honda-Off-Road-SUV-Pickup-Trucks-pilot,34005,1
91,"المركبات > سيارات دفع رباعي وبيك آب > Honda",Ridgeline,would_add,"Would create «Ridgeline» under parent id 34005",-27384,Ridgeline,Ridgeline,honda-Off-Road-SUV-Pickup-Trucks-ridgeline,34005,1
92,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Creta,would_add,"Would create «Creta» under parent id 34008",-27385,Creta,Creta,hyundai-Off-Road-SUV-Pickup-Trucks-creta,34008,1
93,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai","Ioniq 7",would_add,"Would create «Ioniq 7» under parent id 34008",-27386,"Ioniq 7","Ioniq 7",hyundai-Off-Road-SUV-Pickup-Trucks-ioniq-7,34008,1
94,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Palisade,would_add,"Would create «Palisade» under parent id 34008",-27387,Palisade,Palisade,hyundai-Off-Road-SUV-Pickup-Trucks-palisade,34008,1
95,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Venue,would_add,"Would create «Venue» under parent id 34008",-27388,Venue,Venue,hyundai-Off-Road-SUV-Pickup-Trucks-venue,34008,1
96,"المركبات > سيارات دفع رباعي وبيك آب > Jeep",Gladiator,would_add,"Would create «Gladiator» under parent id 34013",-27389,Gladiator,Gladiator,jeep-Off-Road-SUV-Pickup-Trucks-gladiator,34013,1
97,"المركبات > سيارات دفع رباعي وبيك آب > Kia",EV5,would_add,"Would create «EV5» under parent id 34015",-27390,EV5,EV5,kia-Off-Road-SUV-Pickup-Trucks-ev5,34015,1
98,"المركبات > سيارات دفع رباعي وبيك آب > Kia",Seltos,would_add,"Would create «Seltos» under parent id 34015",-27391,Seltos,Seltos,kia-Off-Road-SUV-Pickup-Trucks-seltos,34015,1
99,"المركبات > سيارات دفع رباعي وبيك آب > Kia",Telluride,would_add,"Would create «Telluride» under parent id 34015",-27392,Telluride,Telluride,kia-Off-Road-SUV-Pickup-Trucks-telluride,34015,1
100,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",TX,would_add,"Would create «TX» under parent id 34019",-27393,TX,TX,lexus-Off-Road-SUV-Pickup-Trucks-tx,34019,1
101,"المركبات > سيارات دفع رباعي وبيك آب > MG",RX8,would_add,"Would create «RX8» under parent id 34026",-27394,RX8,RX8,mg-Off-Road-SUV-Pickup-Trucks-rx8,34026,1
102,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",BT-50,would_add,"Would create «BT-50» under parent id 34024",-27395,BT-50,BT-50,mazda-Off-Road-SUV-Pickup-Trucks-bt-50,34024,1
103,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-30,would_add,"Would create «CX-30» under parent id 34024",-27396,CX-30,CX-30,mazda-Off-Road-SUV-Pickup-Trucks-cx-30,34024,1
104,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-50,would_add,"Would create «CX-50» under parent id 34024",-27397,CX-50,CX-50,mazda-Off-Road-SUV-Pickup-Trucks-cx-50,34024,1
105,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-60,would_add,"Would create «CX-60» under parent id 34024",-27398,CX-60,CX-60,mazda-Off-Road-SUV-Pickup-Trucks-cx-60,34024,1
106,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-90,would_add,"Would create «CX-90» under parent id 34024",-27399,CX-90,CX-90,mazda-Off-Road-SUV-Pickup-Trucks-cx-90,34024,1
107,"المركبات > سيارات دفع رباعي وبيك آب > Mitsubishi","Pajero Sport",would_add,"Would create «Pajero Sport» under parent id 34028",-27400,"Pajero Sport","Pajero Sport",mitsubishi-Off-Road-SUV-Pickup-Trucks-pajero-sport,34028,1
108,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Ariya,would_add,"Would create «Ariya» under parent id 34029",-27401,Ariya,Ariya,nissan-Off-Road-SUV-Pickup-Trucks-ariya,34029,1
109,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Armada,would_add,"Would create «Armada» under parent id 34029",-27402,Armada,Armada,nissan-Off-Road-SUV-Pickup-Trucks-armada,34029,1
110,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Frontier,would_add,"Would create «Frontier» under parent id 34029",-27403,Frontier,Frontier,nissan-Off-Road-SUV-Pickup-Trucks-frontier,34029,1
111,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Kicks,would_add,"Would create «Kicks» under parent id 34029",-27404,Kicks,Kicks,nissan-Off-Road-SUV-Pickup-Trucks-kicks,34029,1
112,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Rogue,would_add,"Would create «Rogue» under parent id 34029",-27405,Rogue,Rogue,nissan-Off-Road-SUV-Pickup-Trucks-rogue,34029,1
113,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Titan,would_add,"Would create «Titan» under parent id 34029",-27406,Titan,Titan,nissan-Off-Road-SUV-Pickup-Trucks-titan,34029,1
114,"المركبات > سيارات دفع رباعي وبيك آب > Peugeot",4008,would_add,"Would create «4008» under parent id 34031",-27407,4008,4008,peugeot-Off-Road-SUV-Pickup-Trucks-4008,34031,1
115,"المركبات > سيارات دفع رباعي وبيك آب > Renault",Arkana,would_add,"Would create «Arkana» under parent id 34033",-27408,Arkana,Arkana,renault-Off-Road-SUV-Pickup-Trucks-arkana,34033,1
116,"المركبات > سيارات دفع رباعي وبيك آب > Subaru",Ascent,would_add,"Would create «Ascent» under parent id 34040",-27409,Ascent,Ascent,subaru-Off-Road-SUV-Pickup-Trucks-ascent,34040,1
117,"المركبات > سيارات دفع رباعي وبيك آب > Suzuki",Ertiga,would_add,"Would create «Ertiga» under parent id 34041",-27410,Ertiga,Ertiga,suzuki-Off-Road-SUV-Pickup-Trucks-ertiga,34041,1
118,"المركبات > سيارات دفع رباعي وبيك آب > Suzuki",XL7,would_add,"Would create «XL7» under parent id 34041",-27411,XL7,XL7,suzuki-Off-Road-SUV-Pickup-Trucks-xl7,34041,1
119,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Highlander,would_add,"Would create «Highlander» under parent id 34045",-27412,Highlander,Highlander,toyota-Off-Road-SUV-Pickup-Trucks-highlander,34045,1
120,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Sequoia,would_add,"Would create «Sequoia» under parent id 34045",-27413,Sequoia,Sequoia,toyota-Off-Road-SUV-Pickup-Trucks-sequoia,34045,1
121,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Tacoma,would_add,"Would create «Tacoma» under parent id 34045",-27414,Tacoma,Tacoma,toyota-Off-Road-SUV-Pickup-Trucks-tacoma,34045,1
122,"المركبات > سيارات دفع رباعي وبيك آب > Toyota",Tundra,would_add,"Would create «Tundra» under parent id 34045",-27415,Tundra,Tundra,toyota-Off-Road-SUV-Pickup-Trucks-tundra,34045,1
123,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Atlas,would_add,"Would create «Atlas» under parent id 34046",-27416,Atlas,Atlas,volkswagen-Off-Road-SUV-Pickup-Trucks-atlas,34046,1
124,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Taos,would_add,"Would create «Taos» under parent id 34046",-27417,Taos,Taos,volkswagen-Off-Road-SUV-Pickup-Trucks-taos,34046,1
125,"المركبات > سيارات دفع رباعي وبيك آب > Volkswagen",Teramont,would_add,"Would create «Teramont» under parent id 34046",-27418,Teramont,Teramont,volkswagen-Off-Road-SUV-Pickup-Trucks-teramont,34046,1
126,"المركبات > سيارات دفع رباعي وبيك آب > Volvo",EX90,would_add,"Would create «EX90» under parent id 34047",-27419,EX90,EX90,volvo-Off-Road-SUV-Pickup-Trucks-ex90,34047,1
127,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet",N300,would_add,"Would create «N300» under parent id -27296",-27420,N300,N300,trucks-light-trucks-chevrolet-n300,-27296,1
128,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet",N400,would_add,"Would create «N400» under parent id -27296",-27421,N400,N400,trucks-light-trucks-chevrolet-n400,-27296,1
129,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën",Jumpy,would_add,"Would create «Jumpy» under parent id 38814",-27422,Jumpy,Jumpy,citroen-trucks-light-trucks-jumpy,38814,1
130,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën",Spacetourer,would_add,"Would create «Spacetourer» under parent id 38814",-27423,Spacetourer,Spacetourer,citroen-trucks-light-trucks-spacetourer,38814,1
131,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Doblo,would_add,"Would create «Doblo» under parent id 38822",-27424,Doblo,Doblo,fiat-trucks-light-trucks-doblo,38822,1
132,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Fiorino,would_add,"Would create «Fiorino» under parent id 38822",-27425,Fiorino,Fiorino,fiat-trucks-light-trucks-fiorino,38822,1
133,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Scudo,would_add,"Would create «Scudo» under parent id 38822",-27426,Scudo,Scudo,fiat-trucks-light-trucks-scudo,38822,1
134,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat",Talento,would_add,"Would create «Talento» under parent id 38822",-27427,Talento,Talento,fiat-trucks-light-trucks-talento,38822,1
135,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E Series",would_add,"Would create «E Series» under parent id 38824",-27428,"E Series","E Series",ford-trucks-trucks-light-trucks-e-series,38824,1
136,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E-Tourneo Courier",would_add,"Would create «E-Tourneo Courier» under parent id 38824",-27429,"E-Tourneo Courier","E-Tourneo Courier",ford-trucks-trucks-light-trucks-e-tourneo-courier,38824,1
137,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","E-Tourneo Custom",would_add,"Would create «E-Tourneo Custom» under parent id 38824",-27430,"E-Tourneo Custom","E-Tourneo Custom",ford-trucks-trucks-light-trucks-e-tourneo-custom,38824,1
138,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Fiesta Van",would_add,"Would create «Fiesta Van» under parent id 38824",-27431,"Fiesta Van","Fiesta Van",ford-trucks-trucks-light-trucks-fiesta-van,38824,1
139,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Connect",would_add,"Would create «Tourneo Connect» under parent id 38824",-27432,"Tourneo Connect","Tourneo Connect",ford-trucks-trucks-light-trucks-tourneo-connect,38824,1
140,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Courier",would_add,"Would create «Tourneo Courier» under parent id 38824",-27433,"Tourneo Courier","Tourneo Courier",ford-trucks-trucks-light-trucks-tourneo-courier,38824,1
141,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Custom",would_add,"Would create «Tourneo Custom» under parent id 38824",-27434,"Tourneo Custom","Tourneo Custom",ford-trucks-trucks-light-trucks-tourneo-custom,38824,1
142,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford",Windstar,would_add,"Would create «Windstar» under parent id 38824",-27435,Windstar,Windstar,ford-trucks-trucks-light-trucks-windstar,38824,1
143,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai",Staria,would_add,"Would create «Staria» under parent id 38828",-27436,Staria,Staria,hyundai-trucks-light-trucks-staria,38828,1
144,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia",Pregio,would_add,"Would create «Pregio» under parent id 38831",-27437,Pregio,Pregio,kia-trucks-light-trucks-pregio,38831,1
145,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Citan,would_add,"Would create «Citan» under parent id 38836",-27438,Citan,Citan,mercedes-benz-trucks-light-trucks-citan,38836,1
146,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Sprinter,skipped_exists,"Subcategory already exists under parent (id 39276)",39276,sprinter,Sprinter,sprinter-mercedes-benz-trucks-light-trucks,38836,1
147,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Viano,would_add,"Would create «Viano» under parent id 38836",-27439,Viano,Viano,mercedes-benz-trucks-light-trucks-viano,38836,1
148,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Vito,would_add,"Would create «Vito» under parent id 38836",-27440,Vito,Vito,mercedes-benz-trucks-light-trucks-vito,38836,1
