row_num,csv_path,csv_name,status,message,subcategory_id,db_name_ar,slug,nodes_deleted,ads_count
31,"سلع مستعملة وجديدة > رياضة > عضويات",عضويات,deleted,"Soft-deleted 2 node(s), 0 linked ad(s)",28934,عضويات,membership,2,0
31,"سلع مستعملة وجديدة > رياضة > عضويات",عضويات,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28950,عضويات,membership-2,1,0
31,"سلع مستعملة وجديدة > رياضة > عضويات",عضويات,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28966,عضويات,membership-3,1,0
32,"سلع مستعملة وجديدة > رياضة > مستلزمات المشجعين","مستلزمات المشجعين",deleted,"Soft-deleted 4 node(s), 0 linked ad(s)",28938,"مستلزمات المشجعين",sports-fan-products,4,0
32,"سلع مستعملة وجديدة > رياضة > مستلزمات المشجعين","مستلزمات المشجعين",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28954,"مستلزمات المشجعين",sports-fan-products-2,1,0
32,"سلع مستعملة وجديدة > رياضة > مستلزمات المشجعين","مستلزمات المشجعين",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28970,"مستلزمات المشجعين",sports-fan-products-3,1,0
33,"سلع مستعملة وجديدة > ساعات ومنبهات > ساعات الجيب","ساعات الجيب",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",29483,"ساعات الجيب",pocket-watches,1,0
34,"سلع مستعملة وجديدة > ساعات ومنبهات > ساعات المجوهرات","ساعات المجوهرات",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",29486,"ساعات المجوهرات",jewelry-watches,1,0
35,"سلع مستعملة وجديدة > ساعات ومنبهات > هورجلاسسيس",هورجلاسسيس,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",29482,هورجلاسسيس,hourglasses,1,0
36,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أدب",أدب,deleted,"Soft-deleted 30 node(s), 0 linked ad(s)",25280,أدب,literature-2,30,0
36,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أدب",أدب,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25290,أدب,literature-3,1,0
36,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أدب",أدب,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25300,أدب,literature-4,1,0
37,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أفلام",أفلام,deleted,"Soft-deleted 65 node(s), 0 linked ad(s)",25282,أفلام,movies-2,65,0
37,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أفلام",أفلام,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25292,أفلام,movies-3,1,0
37,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > أفلام",أفلام,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25302,أفلام,movies-4,1,0
38,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > إكسسوارات الكتب الإلكترونية","إكسسوارات الكتب الإلكترونية",deleted,"Soft-deleted 7 node(s), 0 linked ad(s)",25277,"إكسسوارات الكتب الإلكترونية",electronic-book-accessories-2,7,0
38,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > إكسسوارات الكتب الإلكترونية","إكسسوارات الكتب الإلكترونية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25287,"إكسسوارات الكتب الإلكترونية",electronic-book-accessories-3,1,0
38,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > إكسسوارات الكتب الإلكترونية","إكسسوارات الكتب الإلكترونية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25297,"إكسسوارات الكتب الإلكترونية",electronic-book-accessories-4,1,0
39,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الإنجليزية ولغات أخرى","الإنجليزية ولغات أخرى",deleted,"Soft-deleted 13 node(s), 0 linked ad(s)",25278,"الإنجليزية ولغات أخرى",english-other-languages-2,13,0
39,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الإنجليزية ولغات أخرى","الإنجليزية ولغات أخرى",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25288,"الإنجليزية ولغات أخرى",english-other-languages-3,1,0
39,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الإنجليزية ولغات أخرى","الإنجليزية ولغات أخرى",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25298,"الإنجليزية ولغات أخرى",english-other-languages-4,1,0
40,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الكتب المصورة والفكاهة","الكتب المصورة والفكاهة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25283,"الكتب المصورة والفكاهة",comic-books-humor-2,1,0
40,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الكتب المصورة والفكاهة","الكتب المصورة والفكاهة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25293,"الكتب المصورة والفكاهة",comic-books-humor-3,1,0
40,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > الكتب المصورة والفكاهة","الكتب المصورة والفكاهة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25303,"الكتب المصورة والفكاهة",comic-books-humor-4,1,0
41,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > بيع بالجملة","بيع بالجملة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25284,"بيع بالجملة",wholesale-lots-12,1,0
41,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > بيع بالجملة","بيع بالجملة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25294,"بيع بالجملة",wholesale-lots-13,1,0
41,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > بيع بالجملة","بيع بالجملة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25304,"بيع بالجملة",wholesale-lots-14,1,0
42,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب أطفال","كتب أطفال",deleted,"Soft-deleted 8 node(s), 0 linked ad(s)",25275,"كتب أطفال",childrens-books-2,8,0
42,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب أطفال","كتب أطفال",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25285,"كتب أطفال",childrens-books-3,1,0
42,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب أطفال","كتب أطفال",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25295,"كتب أطفال",childrens-books-4,1,0
43,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب تعليمية وقواميس","كتب تعليمية وقواميس",deleted,"Soft-deleted 7 node(s), 0 linked ad(s)",25276,"كتب تعليمية وقواميس",educational-books-dictionaries-2,7,0
43,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب تعليمية وقواميس","كتب تعليمية وقواميس",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25286,"كتب تعليمية وقواميس",educational-books-dictionaries-3,1,0
43,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب تعليمية وقواميس","كتب تعليمية وقواميس",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25296,"كتب تعليمية وقواميس",educational-books-dictionaries-4,1,0
44,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب معلومات ومراجع","كتب معلومات ومراجع",deleted,"Soft-deleted 34 node(s), 0 linked ad(s)",25279,"كتب معلومات ومراجع",information-reference-books-2,34,0
44,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب معلومات ومراجع","كتب معلومات ومراجع",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25289,"كتب معلومات ومراجع",information-reference-books-3,1,0
44,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب معلومات ومراجع","كتب معلومات ومراجع",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25299,"كتب معلومات ومراجع",information-reference-books-4,1,0
45,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > مجلات",مجلات,deleted,"Soft-deleted 40 node(s), 0 linked ad(s)",25281,مجلات,magazine-4,40,0
45,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > مجلات",مجلات,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25291,مجلات,magazine-5,1,0
45,"سلع مستعملة وجديدة > كتب ومجلات وأفلام > مجلات",مجلات,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25301,مجلات,magazine-6,1,0
46,"سلع مستعملة وجديدة > هوايات وألعاب > أطقم تركيب خشبية وبلاستيكية","أطقم تركيب خشبية وبلاستيكية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26768,"أطقم تركيب خشبية وبلاستيكية",wood-plastic-model-kits,1,0
47,"سلع مستعملة وجديدة > هوايات وألعاب > بطاقات تجميع","بطاقات تجميع",deleted,"Soft-deleted 3 node(s), 0 linked ad(s)",26761,"بطاقات تجميع",collection-cards,3,0
48,"سلع مستعملة وجديدة > هوايات وألعاب > مجسمات معدنية","مجسمات معدنية",deleted,"Soft-deleted 20 node(s), 0 linked ad(s)",26763,"مجسمات معدنية",diecast-model,20,0
49,"سلع مستعملة وجديدة > أخرى > منتجات يمكن التخلص منها","منتجات يمكن التخلص منها",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26278,"منتجات يمكن التخلص منها",disposible-products-2,1,0
50,"سلع مستعملة وجديدة > مستلزمات الحدائق والبناء > تحسين المنزل","تحسين المنزل",deleted,"Soft-deleted 108 node(s), 0 linked ad(s)",26481,"تحسين المنزل",home-improvement,108,0
51,"سلع مستعملة وجديدة > مستلزمات الحدائق والبناء > مبانٍ جاهزة","مبانٍ جاهزة",deleted,"Soft-deleted 6 node(s), 0 linked ad(s)",26482,"مبانٍ جاهزة",prefab-building,6,0
52,"سلع مستعملة وجديدة > هوايات وألعاب > مجسمات الشخصيات","مجسمات الشخصيات",deleted,"Soft-deleted 9 node(s), 0 linked ad(s)",26760,"مجسمات الشخصيات",action-figures,9,0
53,"الحيوانات الأليفة والمواشي > الحشرات",الحشرات,deleted,"Soft-deleted 5 node(s), 0 linked ad(s)",29944,الحشرات,insects,5,0
54,"الحيوانات الأليفة والمواشي > الزواحف",الزواحف,deleted,"Soft-deleted 9 node(s), 0 linked ad(s)",29947,الزواحف,reptiles,9,0
55,"الحيوانات الأليفة والمواشي > الكائنات البحرية","الكائنات البحرية",deleted,"Soft-deleted 12 node(s), 0 linked ad(s)",29948,"الكائنات البحرية",sea-lives,12,0
56,"العقارات > تايم شير","تايم شير",deleted,"Soft-deleted 80 node(s), 0 linked ad(s)",44354,"تايم شير",timeshare,80,0
57,"المركبات > مركبات بلوحات ذوي الاحتياجات الخاصة","مركبات بلوحات ذوي الاحتياجات الخاصة",deleted,"Soft-deleted 108 node(s), 0 linked ad(s)",42418,"مركبات بلوحات ذوي الاحتياجات الخاصة",VehicleswithDisabilityPlates,108,0
58,"الوظائف > إدارة الأعمال والإدارة الاستراتيجية","إدارة الأعمال والإدارة الاستراتيجية",deleted,"Soft-deleted 11 node(s), 0 linked ad(s)",17431,"إدارة الأعمال والإدارة الاستراتيجية",job-business-and-strategic-management,11,0
59,"الوظائف > الموارد البشرية","الموارد البشرية",deleted,"Soft-deleted 8 node(s), 0 linked ad(s)",17447,"الموارد البشرية",job-human-resources,8,0
60,"دروس خصوصية > تصوير فوتوغرافي","تصوير فوتوغرافي",deleted,"Soft-deleted 8 node(s), 0 linked ad(s)",17820,"تصوير فوتوغرافي",lesson-photography,8,0
61,"دروس خصوصية > تطوير الذات","تطوير الذات",deleted,"Soft-deleted 14 node(s), 0 linked ad(s)",17811,"تطوير الذات",lesson-personal-development,14,0
62,"دروس خصوصية > مهارات الأعمال والمالية","مهارات الأعمال والمالية",deleted,"Soft-deleted 17 node(s), 0 linked ad(s)",17799,"مهارات الأعمال والمالية",lesson-business-finance-skills,17,0
63,"سلع مستعملة وجديدة > مجوهرات وأحجار كريمة","مجوهرات وأحجار كريمة",deleted,"Soft-deleted 65 node(s), 0 linked ad(s)",25171,"مجوهرات وأحجار كريمة",jewelry-precious-stones,65,0
64,"سلع مستعملة وجديدة > مقتنيات",مقتنيات,deleted,"Soft-deleted 74 node(s), 0 linked ad(s)",25161,مقتنيات,collection,74,0
65,"سلع مستعملة وجديدة > موسيقى",موسيقى,deleted,"Soft-deleted 271 node(s), 0 linked ad(s)",25174,موسيقى,music,271,0
66,"سلع مستعملة وجديدة > جوزفين",جوزفين,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",27053,جوزفين,josefin,1,0
