line,status,message,path,current,new,entity_type,entity_id,old_name_ar
18,updated,"Updated subcategory (fallback by name in category)","المركبات > سيارات > Kia > Ceed > 1.5 هايبرد","1.5 هايبرد","1.5 Hybrid",subcategory,21671,"1.5 هايبرد"
19,not_found,"Subcategory not found at segment: 1.6 هايبرد","المركبات > سيارات > Kia > Ceed > 1.6 هايبرد","1.6 هايبرد","1.6 Hybrid",,,
20,not_found,"Subcategory not found at segment: 1.0 MPI فيل","المركبات > سيارات > Kia > Picanto > 1.0 MPI فيل","1.0 MPI فيل","1.0 MPI Feel",,,
21,not_found,"Subcategory not found at segment: 1.0 MPI كول","المركبات > سيارات > Kia > Picanto > 1.0 MPI كول","1.0 MPI كول","1.0 MPI Cool",,,
22,not_found,"Subcategory not found at segment: 1.0 MPI لايف","المركبات > سيارات > Kia > Picanto > 1.0 MPI لايف","1.0 MPI لايف","1.0 MPI Live",,,
23,name_mismatch,"DB name_ar does not match current name (id 22051)","المركبات > سيارات > Kia > Rio > 1.2",1.2,"1.2 MPI",,,
24,not_found,"Subcategory not found at segment: بي إم دبليو","المركبات > سيارات > بي إم دبليو > الفئة 5 > 520d جران توريزمو","520d جران توريزمو","520d Gran Turismo",,,
25,not_found,"Subcategory not found at segment: بي إم دبليو","المركبات > سيارات > بي إم دبليو > الفئة 5 > 530xd جران توريزمو","530xd جران توريزمو","530xd Gran Turismo",,,
26,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > 1 زائد","1 زائد",OnePlus,,,
27,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آبل",آبل,Apple,,,
28,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آسوس أسترا","آسوس أسترا",Asus,,,
29,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أمازون",أمازون,Amazon,,,
30,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوري",أوري,Auri,,,
31,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوليفون",أوليفون,Ulefone,,,
32,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أووكيتيل",أووكيتيل,Oukitel,,,
33,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أيسر",أيسر,Acer,,,
34,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أينول",أينول,Ainol,,,
35,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إزكول",إزكول,Ezcool,,,
36,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إكسبير",إكسبير,Exper,,,
37,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إل جي","إل جي",LG,,,
38,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > الكاتيل فيستينج","الكاتيل فيستينج",Alcatel,,,
39,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > اوندا",اوندا,Onda,,,
40,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > اونيو",اونيو,Onyo,,,
41,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > ايفرست",ايفرست,Everest,,,
42,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > باناسونيك",باناسونيك,Panasonic,,,
43,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > بلاك بيري","بلاك بيري",BlackBerry,,,
44,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > بلاكفيو",بلاكفيو,Blackview,,,
45,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > بولارويد",بولارويد,Polaroid,,,
46,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > بوليباد",بوليباد,Polypad,,,
47,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > بيبو",بيبو,Pipo,,,
48,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > تشوي",تشوي,Chuwi,,,
49,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > توركسيل",توركسيل,Turkcell,,,
50,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > توشيبا",توشيبا,Toshiba,,,
51,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > تي سي إل","تي سي إل",TCL,,,
52,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > تيكلاست",تيكلاست,Teclast,,,
53,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > جرونديج",جرونديج,Grundig,,,
54,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > جوجل",جوجل,Google,,,
55,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > جولد ماستر","جولد ماستر",GoldMaster,,,
56,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > جي تي اكس","جي تي اكس",GTX,,,
57,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > دوجي",دوجي,Doogee,,,
58,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > ديل",ديل,Dell,,,
59,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > ريدر",ريدر,Reeder,,,
60,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > زد تي إي سنات","زد تي إي سنات",ZTE,,,
61,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > سامسونج",سامسونج,Samsung,,,
62,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > سمارت كيو","سمارت كيو",SmartQ,,,
63,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > سمكة البيرانا","سمكة البيرانا",Piranha,,,
64,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > سوني",سوني,Sony,,,
65,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > سيروكس",سيروكس,Syrox,,,
66,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > شاومي",شاومي,Xiaomi,,,
67,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > صني",صني,Sunny,,,
68,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > طرد اركوس","طرد اركوس",Archos,,,
69,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > فودافون",فودافون,Vodafone,,,
70,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > فوركوم",فوركوم,Vorcom,,,
71,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > فوسيبوت",فوسيبوت,Fossibot,,,
72,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > فيستل",فيستل,Vestel,,,
73,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > كاسبر",كاسبر,Casper,,,
74,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > كاواي",كاواي,Kawai,,,
75,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > كودجن",كودجن,Codegen,,,
76,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > كونكورد",كونكورد,Concord,,,
77,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > لينوفو",لينوفو,Lenovo,,,
78,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > مالاتا",مالاتا,Malata,,,
79,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > مايكروسوفت",مايكروسوفت,Microsoft,,,
80,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > موبايل عام","موبايل عام","General Mobile",,,
81,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > موبي",موبي,Mobi,,,
82,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > نافكينج",نافكينج,Navking,,,
83,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > نافيتك",نافيتك,Navitech,,,
84,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > نكست",نكست,Next,,,
85,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > نوكيا",نوكيا,Nokia,,,
86,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > نيكستبوك",نيكستبوك,Nextbook,,,
87,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > هواوي",هواوي,Huawei,,,
88,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > هومتك",هومتك,Hometech,,,
89,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > هونر",هونر,Honor,,,
90,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > يونيباد",يونيباد,Unipad,,,
91,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > يونيهيرتز",يونيهيرتز,Unihertz,,,
92,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > آبل",آبل,Apple,,,
93,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > آسروك",آسروك,Asrock,,,
94,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > آسوس",آسوس,Asus,,,
95,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > آي بي إم","آي بي إم",IBM,,,
96,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > آي لايف","آي لايف",I-Life,,,
97,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > أرسيليك",أرسيليك,Arçelik,,,
98,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > أفانترون",أفانترون,Avantron,,,
99,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > أوفيس كيس","أوفيس كيس",Officecase,,,
100,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > أوليفيتي",أوليفيتي,Olivetti,,,
101,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > أيسر",أيسر,Acer,,,
102,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إكسبير",إكسبير,Exper,,,
103,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إم إس آي","إم إس آي",MSI,,,
104,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إن إي سي","إن إي سي",NEC,,,
105,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إن سي آر","إن سي آر",NCR,,,
106,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إنتل إنتل","إنتل إنتل",Intel,,,
107,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إيداتا ستيفيو","إيداتا ستيفيو",Aidata,,,
108,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > إيزولي",إيزولي,Izoly,,,
109,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > ايروكول",ايروكول,Aerocool,,,
110,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > باكارد بيل","باكارد بيل","Packard Bell",,,
111,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > باورجيت",باورجيت,PowerGate,,,
112,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > برو2000",برو2000,Pro2000,,,
113,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > بلاكفيو",بلاكفيو,Blackview,,,
114,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > بيكو",بيكو,Beko,,,
115,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > تكنو بي سي دومينيشن","تكنو بي سي دومينيشن",Technopc,,,
116,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > توربوكس",توربوكس,Turbox,,,
117,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > جرونديج",جرونديج,Grundig,,,
118,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > جيجابايت",جيجابايت,Gigabyte,,,
119,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > دراغوس",دراغوس,Dragos,,,
120,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > ديل",ديل,Dell,,,
121,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > دينتي",دينتي,Dente,,,
122,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > راسبيري بي","راسبيري بي","Raspberry Pi",,,
123,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > زوتاك ستيف","زوتاك ستيف",Zotac,,,
124,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > زيرون",زيرون,Zeron,,,
125,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > سامسونج",سامسونج,Samsung,,,
126,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > سوني",سوني,Sony,,,
127,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > سي بوكس","سي بوكس",Cbox,,,
128,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > سيكليفي",سيكليفي,Seclife,,,
129,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > شاتل",شاتل,Shuttle,,,
130,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > صن",صن,Sun,,,
131,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > عثمانلي كمبيوتر","عثمانلي كمبيوتر","Osmanlı Bilgisayar",,,
132,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > فوجيتسو",فوجيتسو,Fujitsu,,,
133,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > فوجيتسو سيمنز","فوجيتسو سيمنز","Fujitsu Siemens",,,
134,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > فيستل",فيستل,Vestel,,,
135,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > فيليبس",فيليبس,Philips,,,
136,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > فيوسونيك",فيوسونيك,ViewSonic,,,
137,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > كاسبر",كاسبر,Casper,,,
138,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > كريا",كريا,Crea,,,
139,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > كزاسر",كزاسر,Xaser,,,
140,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > كوادرو",كوادرو,Quadro,,,
141,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > كومباك",كومباك,Compaq,,,
142,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > لينوفو",لينوفو,Lenovo,,,
143,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > مايكروسوفت",مايكروسوفت,Microsoft,,,
144,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > مستر بلس","مستر بلس","Mister Plus",,,
145,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > مونستر ستيفيو","مونستر ستيفيو",Monster,,,
146,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > هواوي",هواوي,Huawei,,,
147,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > هومتك",هومتك,Hometech,,,
148,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > هيريكان",هيريكان,Hurricane,,,
149,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > كمبيوتر مكتبي > موديلات > واربوكس",واربوكس,Warbox,,,
150,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > NUC إنتل","NUC إنتل","NUC Intel",,,
151,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > XIAOMI جاهزة","XIAOMI جاهزة",Xiaomi,,,
152,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > آبل ماك بوك","آبل ماك بوك","Apple Macbook",,,
153,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > آسوس",آسوس,Asus,,,
154,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > آي إكس تك","آي إكس تك",iXtech,,,
155,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > آي بي إم","آي بي إم",IBM,,,
156,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > آي لايف","آي لايف",I-Life,,,
157,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > أدفان",أدفان,Advan,,,
158,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > أدفنت",أدفنت,Advent,,,
159,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > أرسيليك",أرسيليك,Arçelik,,,
160,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > أوروس",أوروس,Aorus,,,
161,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > أيسر",أيسر,Acer,,,
162,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > إسكورتس",إسكورتس,Escort,,,
163,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > إكسا",إكسا,EXA,,,
164,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > إكسبير",إكسبير,Exper,,,
165,not_found,"Category not found: سلع مستعملة وجديدة","سلع مستعملة وجديدة > كمبيوتر > لابتوبات ونوت بوك > لابتوبات > إل جي","إل جي",LG,,,
