مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
,الواجهة,قائمة منسدلة,لا,الواجهة,شمال، جنوب، شرق، غرب، شمال شرقي، شمال غربي، جنوب شرقي، جنوب غربي، أكثر من جهة، غير معروف,
,الميزات الداخلية,مجموعة اختيارات,لا,الميزات الداخلية,بلكون، خزائن، غرفة لباس، مستودع، غسيل منفصل، مطبخ مجهز، تكييف، تدفئة، إنترنت جاهز,
,ميزات البناء / المجمع,مجموعة اختيارات,لا,ميزات البناء / المجمع,مصعد، حارس، أمن، مولدة، موقف سيارات، حديقة مشتركة، مدخل مستقل، كاميرات مراقبة,
,الخدمات القريبة,مجموعة اختيارات,لا,الخدمات القريبة,مدرسة، مشفى، صيدلية، سوق، مسجد، حديقة، مركز تجاري,
,المواصلات القريبة,مجموعة اختيارات,لا,المواصلات القريبة,موقف باص، طريق رئيسي، سرفيس / ميكروباص، تكسي، كراجات / محطة,
,سهولة الوصول,مجموعة اختيارات,لا,سهولة الوصول,مناسب لكبار السن، مناسب لذوي الاحتياجات، مدخل بدون درج، مصعد مناسب,
"عقارات > سكني > للبيع > منزل مستقل
عقارات > سكني > للبيع > فيلا
عقارات > سكني > للبيع > منزل ريفي / مزرعة
عقارات > سكني > للبيع > بيت صيفي",عنوان الإعلان,نص قصير,نعم,,,
,الوصف,نص طويل,نعم,,,
,السعر,رقم,نعم,,,
,العملة,قائمة منسدلة,نعم,العملة,دولار أمريكي، ليرة سورية، ليرة تركية,
,المساحة الإجمالية (م²),رقم,نعم,,,
,المساحة الصافية (م²),رقم,نعم,,,
,عدد الغرف,قائمة منسدلة,نعم,عدد الغرف,ستوديو، 1+1، 2+1، 3+1، 4+1، 5+1، 6+1، 7+1، 8+1، 9+1، 10 غرف فأكثر,
,مساحة الأرض / الحديقة (م²),رقم,نعم,,,
,عدد الطوابق,قائمة منسدلة,نعم,عدد الطوابق,1، 2، 3، 4، 5 فأكثر,
,عمر البناء,قائمة منسدلة,نعم,عمر البناء,جديد، 0-5 سنوات، 6-10 سنوات، 11-20 سنة، 21-30 سنة، أكثر من 30 سنة، غير معروف,
,التدفئة,قائمة منسدلة,نعم,التدفئة,لا يوجد، مدفأة، مازوت، غاز، كهرباء، تدفئة مركزية، تدفئة أرضية، مكيف، طاقة شمسية، أخرى,
,عدد الحمامات,قائمة منسدلة,نعم,عدد الحمامات,1، 2، 3، 4، 5 فأكثر,
,المطبخ,قائمة منسدلة,نعم,المطبخ,مطبخ منفصل، مطبخ مفتوح، مطبخ أمريكي، مطبخ خارجي، غير موجود,
,حديقة,قائمة منسدلة,نعم,حديقة,نعم، لا,
,مسبح,قائمة منسدلة,نعم,مسبح,نعم، لا,
,موقف سيارة,قائمة منسدلة,نعم,موقف سيارة,لا يوجد، موقف شارع، موقف خاص، كراج، موقف مغطى,
,داخل مجمع,قائمة منسدلة,نعم,داخل مجمع,نعم، لا,
,مفروش,قائمة منسدلة,نعم,مفروش,نعم، لا، مفروش جزئيًا,
,حالة العقار,قائمة منسدلة,نعم,حالة العقار,جديد، شبه جديد، جيد، يحتاج صيانة، قيد الإنشاء,
,نوع سند الملكية,قائمة منسدلة,نعم,نوع سند الملكية,سند ملكية/ طابو أخضر، وكالة كاتب عدل، حكم محكمة، عقد بيع، إفراز غير مكتمل,
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب عقاري، شركة إنشاءات، وكيل / مندوب,
,إمكانية الداكيش,قائمة منسدلة,نعم,إمكانية الداكيش,نعم، لا,
,الخدمات الشهرية,رقم,لا,,,
,الإطلالة,قائمة منسدلة,لا,الإطلالة,بدون إطلالة محددة، شارع، حديقة، مدينة، جبل، بحر، إطلالة مفتوحة,
,الواجهة,قائمة منسدلة,لا,الواجهة,شمال، جنوب، شرق، غرب، شمال شرقي، شمال غربي، جنوب شرقي، جنوب غربي، أكثر من جهة، غير معروف,
,ميزات الحديقة والخارج,مجموعة اختيارات,لا,ميزات الحديقة والخارج,حديقة خاصة، جلسة خارجية، شرفة، تراس، مسبح، بئر ماء، مستودع خارجي، سور محيط,
,البنية والخدمات,مجموعة اختيارات,لا,البنية والخدمات,مولدة، خزان مياه، طاقة شمسية، إنترنت جاهز، تدفئة مركزية، كاميرات مراقبة,
,الخدمات القريبة,مجموعة اختيارات,لا,الخدمات القريبة,مدرسة، مشفى، صيدلية، سوق، مسجد، حديقة، طريق رئيسي,
,المواصلات القريبة,مجموعة اختيارات,لا,المواصلات القريبة,موقف باص، طريق رئيسي، سرفيس / ميكروباص، تكسي، كراجات / محطة,
"عقارات > سكني > للبيع > قصر أو منزل تراثي
عقارات > سكني > للبيع > قصر / فيلا على البحر",عنوان الإعلان,نص قصير,نعم,,,
,الوصف,نص طويل,نعم,,,
,السعر,رقم,نعم,,,
,العملة,قائمة منسدلة,نعم,العملة,دولار أمريكي، ليرة سورية، ليرة تركية,
,المساحة الإجمالية (م²),رقم,نعم,,,
,المساحة الصافية (م²),رقم,نعم,,,
,عدد الغرف,قائمة منسدلة,نعم,عدد الغرف,ستوديو، 1+1، 2+1، 3+1، 4+1، 5+1، 6+1، 7+1، 8+1، 9+1، 10 غرف فأكثر,
,مساحة الأرض (م²),رقم,نعم,,,
,عدد الطوابق,قائمة منسدلة,نعم,عدد الطوابق,1، 2، 3، 4، 5 فأكثر,
,عمر البناء,قائمة منسدلة,نعم,عمر البناء,جديد، 0-5 سنوات، 6-10 سنوات، 11-20 سنة، 21-30 سنة، أكثر من 30 سنة، غير معروف,
,التدفئة,قائمة منسدلة,نعم,التدفئة,لا يوجد، مدفأة، مازوت، غاز، كهرباء، تدفئة مركزية، تدفئة أرضية، مكيف، طاقة شمسية، أخرى,
,عدد الحمامات,قائمة منسدلة,نعم,عدد الحمامات,1، 2، 3، 4، 5 فأكثر,
,المطبخ,قائمة منسدلة,نعم,المطبخ,مطبخ منفصل، مطبخ مفتوح، مطبخ أمريكي، مطبخ خارجي، غير موجود,
,حديقة,قائمة منسدلة,نعم,حديقة,نعم، لا,
,مسبح,قائمة منسدلة,نعم,مسبح,نعم، لا,
,موقف سيارة,قائمة منسدلة,نعم,موقف سيارة,لا يوجد، موقف شارع، موقف خاص، كراج، موقف مغطى,
,إطلالة بحرية,قائمة منسدلة,نعم,إطلالة بحرية,نعم، لا,
,عقار تراثي / تاريخي,قائمة منسدلة,نعم,عقار تراثي / تاريخي,نعم، لا,
,داخل مجمع,قائمة منسدلة,نعم,داخل مجمع,نعم، لا,
,مفروش,قائمة منسدلة,نعم,مفروش,نعم، لا، مفروش جزئيًا,
,حالة العقار,قائمة منسدلة,نعم,حالة العقار,جديد، شبه جديد، جيد، يحتاج صيانة، قيد الإنشاء,
,نوع سند الملكية,قائمة منسدلة,نعم,نوع سند الملكية,سند ملكية/ طابو أخضر، وكالة كاتب عدل، حكم محكمة، عقد بيع، إفراز غير مكتمل,
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب عقاري، شركة إنشاءات، وكيل / مندوب,
,إمكانية الداكيش,قائمة منسدلة,نعم,إمكانية الداكيش,نعم، لا,
,الخدمات الشهرية,رقم,لا,,,
,الإطلالة,قائمة منسدلة,لا,الإطلالة,بدون إطلالة محددة، شارع، حديقة، مدينة، جبل، بحر، إطلالة مفتوحة,
,الواجهة,قائمة منسدلة,لا,الواجهة,شمال، جنوب، شرق، غرب، شمال شرقي، شمال غربي، جنوب شرقي، جنوب غربي، أكثر من جهة، غير معروف,
,ميزات خاصة,مجموعة اختيارات,لا,ميزات خاصة,حديقة كبيرة، مسبح، قبو، تراس واسع، مدخل مستقل، سور محيط، كراج خاص، غرفة حارس,
,الخدمات والبنية,مجموعة اختيارات,لا,الخدمات والبنية,مولدة، خزان مياه، طاقة شمسية، تدفئة مركزية، كاميرات مراقبة، نظام أمان,
,الخدمات القريبة,مجموعة اختيارات,لا,الخدمات القريبة,مدرسة، مشفى، صيدلية، سوق، مسجد، حديقة، طريق رئيسي,
