رقم,الإجراء المطلوب,المسار الأب,اسم القسم الجديد المطلوب إضافته,
60,إضافة قسم,المركبات > سيارات > Peugeot,108,
61,إضافة قسم,المركبات > سيارات > Suzuki,Celerio,
62,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Tesla,Cybertruck,
63,إضافة قسم,المركبات > سيارات > Tesla,Roadster,
64,إضافة قسم,المركبات > سيارات > Toyota,Avalon,
65,إضافة قسم,المركبات > سيارات > Toyota,Aygo,
66,إضافة قسم,المركبات > سيارات > Toyota,Celica,
67,إضافة قسم,المركبات > سيارات > Toyota,Crown,
68,إضافة قسم,المركبات > سيارات > Toyota,GR86,
69,إضافة قسم,المركبات > سيارات > Toyota,Matrix,
70,إضافة قسم,المركبات > سيارات > Toyota,Mirai,
71,إضافة قسم,المركبات > سيارات > Toyota,Sienna,
72,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volvo,XC70,
73,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volvo,XC90,
74,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > BYD,Leopard 5,
75,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > BYD,Song Pro,
76,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Cadillac,XT4,
77,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Cadillac,XT5,
78,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Cadillac,XT6,
79,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chery,Tiggo 4 Pro,
80,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chevrolet,Colorado,
81,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chevrolet,Tracker,
82,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chevrolet,Trailblazer,
83,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chevrolet,Traverse,
84,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Ford,Everest,
85,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Ford,Maverick,
86,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Azkarra,
87,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Boyue,
88,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Radar RD6,
89,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Honda,Passport,
90,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Honda,Pilot,
91,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Honda,Ridgeline,
92,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Hyundai,Creta,
93,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Hyundai,Ioniq 7,
94,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Hyundai,Palisade,
95,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Hyundai,Venue,
96,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Jeep,Gladiator,
97,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Kia,EV5,
98,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Kia,Seltos,
99,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Kia,Telluride,
100,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Lexus,TX,
101,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > MG,RX8,
102,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mazda,BT-50,
103,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mazda,CX-30,
104,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mazda,CX-50,
105,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mazda,CX-60,
106,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mazda,CX-90,
107,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mitsubishi,Pajero Sport,
108,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Ariya,
109,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Armada,
110,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Frontier,
111,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Kicks,
112,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Rogue,
113,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan,Titan,
114,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Peugeot,4008,
115,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Renault,Arkana,
116,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Subaru,Ascent,
117,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Suzuki,Ertiga,
118,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Suzuki,XL7,
119,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota,Highlander,
120,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota,Sequoia,
121,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota,Tacoma,
122,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota,Tundra,
123,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volkswagen,Atlas,
124,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volkswagen,Taos,
125,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volkswagen,Teramont,
126,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Volvo,EX90,
127,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet,N300,
128,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Chevrolet,N400,
129,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën,Jumpy,
130,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën,Spacetourer,
131,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat,Doblo,
132,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat,Fiorino,
133,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat,Scudo,
134,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Fiat,Talento,
135,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,E Series,
136,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,E-Tourneo Courier,
137,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,E-Tourneo Custom,
138,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,Fiesta Van,
139,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,Tourneo Connect,
140,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,Tourneo Courier,
141,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,Tourneo Custom,
142,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford,Windstar,
143,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai,Staria,
144,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia,Pregio,
145,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz,Citan,
146,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz,Sprinter,
147,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz,Viano,
148,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz,Vito,
149,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mitsubishi Temsa,Canter,
150,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan,Cabstar,
151,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan,NV200,
152,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan,NV300,
153,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan,NV350,
154,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan,Urvan,
155,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel,Combo,
156,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel,Movano,
157,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel,Vivaro,
158,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel,Zafira Life,
159,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot,Expert,
160,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot,Partner,
161,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot,Traveller,
162,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault,Express,
163,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault,Kangoo,
164,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault,Trafic,
165,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Toyota,Coaster,
166,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Toyota,Hiace,
167,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen,Caddy,
168,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen,California,
169,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen,Caravelle,
170,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen,Multivan,
171,إضافة قسم,المركبات > سيارات > Audi > RS Series,RS5,
172,إضافة قسم,المركبات > سيارات > Audi > S Series,S4,
173,إضافة قسم,المركبات > سيارات > BMW > M Series,M2,
174,إضافة قسم,المركبات > سيارات > BMW > M Series,M2 Competition,
175,إضافة قسم,المركبات > سيارات > BMW > M Series,M235i,
176,إضافة قسم,المركبات > سيارات > BMW > M Series,M235i xDrive,
177,إضافة قسم,المركبات > سيارات > BMW > M Series,M240i xDrive,
178,إضافة قسم,المركبات > سيارات > BMW > M Series,M3,
179,إضافة قسم,المركبات > سيارات > BMW > M Series,M3 CSL,
180,إضافة قسم,المركبات > سيارات > BMW > M Series,M3 Cabrio,
181,إضافة قسم,المركبات > سيارات > BMW > M Series,M3 Competition,
182,إضافة قسم,المركبات > سيارات > BMW > M Series,M3 Coupe,
183,إضافة قسم,المركبات > سيارات > BMW > M Series,M3 Touring,
184,إضافة قسم,المركبات > سيارات > BMW > M Series,M4,
185,إضافة قسم,المركبات > سيارات > BMW > M Series,M4 CS,
186,إضافة قسم,المركبات > سيارات > BMW > M Series,M4 Competition,
187,إضافة قسم,المركبات > سيارات > BMW > M Series,M440i xDrive,
188,إضافة قسم,المركبات > سيارات > BMW > M Series,M5,
189,إضافة قسم,المركبات > سيارات > BMW > M Series,M5 Competition,
190,إضافة قسم,المركبات > سيارات > BMW > M Series,M5 Touring,
191,إضافة قسم,المركبات > سيارات > BMW > M Series,M6,
192,إضافة قسم,المركبات > سيارات > BMW > M Series,M6 Cabrio,
193,إضافة قسم,المركبات > سيارات > BMW > M Series,M6 Gran Coupe,
194,إضافة قسم,المركبات > سيارات > BMW > M Series,M760e xDrive,
195,إضافة قسم,المركبات > سيارات > BMW > M Series,M760i Long xDrive,
196,إضافة قسم,المركبات > سيارات > BMW > M Series,M8 Coupe xDrive Competition,
197,إضافة قسم,المركبات > سيارات > BMW > M Series,M8 Gran Coupe xDrive Competition,
198,إضافة قسم,المركبات > سيارات > BMW > M Series,Z3 M Cabrio,
199,إضافة قسم,المركبات > سيارات > BMW > Z Series,Z1,
200,إضافة قسم,المركبات > سيارات > BMW > Z Series,Z3,
201,إضافة قسم,المركبات > سيارات > BMW > Z Series,Z4,
202,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën,Berlingo,
203,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Dacia,Dokker,
204,إضافة قسم,المركبات > سيارات > Fiat > 500 Family,500,
205,إضافة قسم,المركبات > سيارات > Fiat > 500 Family,500L,
206,إضافة قسم,المركبات > سيارات > Hyundai > i20,i20 Active,
207,إضافة قسم,المركبات > سيارات > Hyundai > i20,i20 N,
208,إضافة قسم,المركبات > سيارات > Hyundai > i20,i20 Troy,
209,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX30,
210,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX50,
211,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX60,
212,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX70,
213,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX80,
214,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.1 EX,
215,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.1 EX Advance,
216,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.1 EX Comfort,
217,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.1 Hiper,
218,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.2 Cool,
219,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.2 Feel,
220,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.25 EX,
221,إضافة قسم,المركبات > سيارات > Kia > Picanto,1.25 MPI Comfort,
222,إضافة قسم,المركبات > سيارات > Kia > Rio,1.0 TGDI,
223,إضافة قسم,المركبات > سيارات > Kia > Rio,1.25 CVVT,
224,إضافة قسم,المركبات > سيارات > Kia > Rio,1.3,
225,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4 CRDi,
226,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4 CVVT,
227,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4 EX,
228,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4 GSL,
229,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4 WGT CRDI,
230,إضافة قسم,المركبات > سيارات > Kia > Rio,1.4L MPI,
231,إضافة قسم,المركبات > سيارات > Kia > Rio,1.5,
232,إضافة قسم,المركبات > سيارات > Mazda > MX,MX-5,
233,إضافة قسم,المركبات > سيارات > Mazda > RX,RX-7,
234,إضافة قسم,المركبات > سيارات > Mazda > RX,RX-8,
235,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot,Rifter,
236,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Toyota,Proace,
237,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Cadillac > Escalade,ESV,
238,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti > QX,QX55,
239,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Mercedes-Benz > GLS,Maybach,
240,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan > Patrol,Super Safari,
241,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan > Patrol,Y61,
242,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Nissan > Patrol,Y62,
243,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Hilux,Revo,
244,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Hilux,Vigo,
245,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Land Cruiser,200 Series,
246,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Land Cruiser,300 Series,
247,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Land Cruiser,70 Series,
248,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Land Cruiser Prado,120,
249,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Toyota > Land Cruiser Prado,150,
250,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > E-Transit,Chassis Cab,
251,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > E-Transit,Custom,
252,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > E-Transit,Van,
253,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Chassis Cab,
254,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Connect,
255,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Courier,
256,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Custom,
257,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Minibus,
258,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford > Transit,Van,
259,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > H Series,H-1,
260,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia > K Series,K2500,
261,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia > K Series,K2700,
262,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia > K Series,K2900,
