رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,
23,حذف القسم,المركبات > دراجات ATV رباعية > واواساكي,واواساكي,
24,حذف القسم,المركبات > سيارات > جويس,جويس,
25,حذف القسم,سلع مستعملة وجديدة > أنتيكات > الكتب والمواد المطبوعة,الكتب والمواد المطبوعة,
26,حذف القسم,سلع مستعملة وجديدة > أنتيكات > ماريتيمي,ماريتيمي,
27,حذف القسم,سلع مستعملة وجديدة > رياضة > رياضات خطرة,رياضات خطرة,
28,حذف القسم,سلع مستعملة وجديدة > رياضة > رياضات شتوية,رياضات شتوية,
29,حذف القسم,سلع مستعملة وجديدة > رياضة > رياضات طبيعية,رياضات طبيعية,
30,حذف القسم,سلع مستعملة وجديدة > رياضة > رياضات مائية,رياضات مائية,
31,حذف القسم,سلع مستعملة وجديدة > رياضة > عضويات,عضويات,
32,حذف القسم,سلع مستعملة وجديدة > رياضة > مستلزمات المشجعين,مستلزمات المشجعين,
33,حذف القسم,سلع مستعملة وجديدة > ساعات ومنبهات > ساعات الجيب,ساعات الجيب,
34,حذف القسم,سلع مستعملة وجديدة > ساعات ومنبهات > ساعات المجوهرات,ساعات المجوهرات,
35,حذف القسم,سلع مستعملة وجديدة > ساعات ومنبهات > هورجلاسسيس,هورجلاسسيس,
36,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > أدب,أدب,
37,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > أفلام,أفلام,
38,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > إكسسوارات الكتب الإلكترونية,إكسسوارات الكتب الإلكترونية,
39,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > الإنجليزية ولغات أخرى,الإنجليزية ولغات أخرى,
40,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > الكتب المصورة والفكاهة,الكتب المصورة والفكاهة,
41,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > بيع بالجملة,بيع بالجملة,
42,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب أطفال,كتب أطفال,
43,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب تعليمية وقواميس,كتب تعليمية وقواميس,
44,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > كتب معلومات ومراجع,كتب معلومات ومراجع,
45,حذف القسم,سلع مستعملة وجديدة > كتب ومجلات وأفلام > مجلات,مجلات,
46,حذف القسم,سلع مستعملة وجديدة > هوايات وألعاب > أطقم تركيب خشبية وبلاستيكية,أطقم تركيب خشبية وبلاستيكية,
47,حذف القسم,سلع مستعملة وجديدة > هوايات وألعاب > بطاقات تجميع,بطاقات تجميع,
48,حذف القسم,سلع مستعملة وجديدة > هوايات وألعاب > مجسمات معدنية,مجسمات معدنية,
49,حذف القسم,سلع مستعملة وجديدة > أخرى > منتجات يمكن التخلص منها,منتجات يمكن التخلص منها,
50,حذف القسم,سلع مستعملة وجديدة > مستلزمات الحدائق والبناء > تحسين المنزل,تحسين المنزل,
51,حذف القسم,سلع مستعملة وجديدة > مستلزمات الحدائق والبناء > مبانٍ جاهزة,مبانٍ جاهزة,
52,حذف القسم,سلع مستعملة وجديدة > هوايات وألعاب > مجسمات الشخصيات,مجسمات الشخصيات,
53,حذف القسم,الحيوانات الأليفة والمواشي > الحشرات,الحشرات,
54,حذف القسم,الحيوانات الأليفة والمواشي > الزواحف,الزواحف,
55,حذف القسم,الحيوانات الأليفة والمواشي > الكائنات البحرية,الكائنات البحرية,
56,حذف القسم,العقارات > تايم شير,تايم شير,
57,حذف القسم,المركبات > مركبات بلوحات ذوي الاحتياجات الخاصة,مركبات بلوحات ذوي الاحتياجات الخاصة,
58,حذف القسم,الوظائف > إدارة الأعمال والإدارة الاستراتيجية,إدارة الأعمال والإدارة الاستراتيجية,
59,حذف القسم,الوظائف > الموارد البشرية,الموارد البشرية,
60,حذف القسم,دروس خصوصية > تصوير فوتوغرافي,تصوير فوتوغرافي,
61,حذف القسم,دروس خصوصية > تطوير الذات,تطوير الذات,
62,حذف القسم,دروس خصوصية > مهارات الأعمال والمالية,مهارات الأعمال والمالية,
63,حذف القسم,سلع مستعملة وجديدة > مجوهرات وأحجار كريمة,مجوهرات وأحجار كريمة,
64,حذف القسم,سلع مستعملة وجديدة > مقتنيات,مقتنيات,
65,حذف القسم,سلع مستعملة وجديدة > موسيقى,موسيقى,
66,حذف القسم,سلع مستعملة وجديدة > جوزفين,جوزفين,
